AAC Egypt	HEAR
EWN Unknown	NONE
EWR Unknown	NONE
EXT United Kingdom	EGTE
EYW Unknown	NONE
EZE Argentina	SAEZ
EZF Unknown	NONE
FAE Faroe Islands	EKVG
FAI Alaska	PAFA
FAO Portugal	LPFR
FAR Unknown	NONE
FAT Unknown	NONE
FAY Unknown	NONE
FCA Unknown	NONE
FCO Italy	LIRF
FDE Norway	ENBL
FDF Martinique	TFFF
FDH Germany	EDNY
FEN Brazil	SBFN
FEZ Morocco	GMFF
FFM Unknown	NONE
FHU Unknown	NONE
FIH Democratic Rep	FZAA
FKB Germany	EDSB
FKL Unknown	NONE
FLG Unknown	NONE
FLL Unknown	NONE
FLN Brazil	SBFL
FLO Unknown	NONE
FLR Italy	LIRQ
FMA Argentina	SARF
FMN Unknown	NONE
FMO Germany	EDDG
FNC Portugal	LPMA
FNI France	LFTW
FNL Unknown	NONE
FNT Unknown	NONE
FOC People's Repub	ZSFZ
FOD Unknown	NONE
FOE Unknown	NONE
FOR Brazil	SBFZ
FPO Bahamas	MYGF
FRA Germany	EDDF
FRD Unknown	NONE
FRM Unknown	NONE
FRO Norway	ENFL
FRS Guatemala	MGTK
FRU Kyrgyzstan	UAFM
FSD Unknown	NONE
FSM Unknown	NONE
FSP Saint Pierre a	LFVP
FTE Argentina	SAWC
FUE Canary Islands	GCFV
FUG People's Repub	ZSFY
FUK Japan	RJFF
FUN Tuvalu	NGFU
FWA Unknown	NONE
FYV Unknown	NONE
GAJ Japan	RJSC
GAL Alaska	PAGA
GAU India	VEGT
GBD Unknown	NONE
GBE Botswana	FBSK
GBG Unknown	NONE
GCC Unknown	NONE
GCI United Kingdom	EGJB
GCK Unknown	NONE
GCM Cayman Islands	MWCR
GCN Unknown	NONE
GCY Unknown	NONE
GDC Unknown	NONE
GDL Mexico	MMGL
GDN Poland	EPGD
GDT Turks and Caic	MBGT
GDV Unknown	NONE
GDX Russian Federa	UHMM
GEA New Caledonia	NWWM
GEG Unknown	NONE
GEO Guyana	SYTM
GET Australia	YGEL
GFF Australia	YGTH
GFK Unknown	NONE
GGG Unknown	NONE
GGT Bahamas	MYEF
GGW Unknown	NONE
GHB Bahamas	MYEM
GHT Libya	HLGT
GIB Gibraltar	LXGB
GIG Brazil	SBGL
GIL Pakistan	OPGT
GIZ Saudi Arabia	OEGN
GJT Unknown	NONE
GKA Papua New Guin	AYGA
GLA United Kingdom	EGPF
GLD Unknown	NONE
GLF Costa Rica	MRGF
GLH Unknown	NONE
GLS Unknown	NONE
GLT Australia	YGLA
GLV Alaska	PAGL
GMU Unknown	NONE
GNB France	LFLS
GND Grenada	TGPY
GNV Unknown	NONE
GOA Italy	LIMJ
GOH Greenland	BGGH
GOI India	VAGO
GOJ Russian Federa	UWGG
GON Unknown	NONE
GOT Sweden	ESGG
GOV Australia	YPGV
GPI Colombia	SKGP
GPS Ecuador	SEGS
GPT Unknown	NONE
GRB Unknown	NONE
GRE Unknown	NONE
GRI Unknown	NONE
GRJ South Africa	FAGG
GRO Spain	LEGE
GRQ Netherlands	EHGG
GRR Unknown	NONE
GRU Brazil	SBGR
GRX Spain	LEGR
GRZ Austria	LOWG
GSO Unknown	NONE
GSP Unknown	NONE
GST Alaska	PAGS
GTF Unknown	NONE
GTO Unknown	NONE
GTR Unknown	NONE
GUA Guatemala	MGGT
GUB Mexico	MMGR
GUC Unknown	NONE
GUM Guam	PGUM
GUP Unknown	NONE
GUR Papua New Guin	AYGN
GVA Switzerland	LSGG
GVT Unknown	NONE
GWD Pakistan	OPGD
GWT Germany	EDXW
GWY Ireland	EICM
GXQ Chile	SCCY
GYA Bolivia	SLGY
GYD Unknown	NONE
GYE Ecuador	SEGU
GYM Mexico	MMGM
GYN Brazil	SBGO
GYY Unknown	NONE
HAC Japan	RJTH
HAD Sweden	ESMT
HAG Unknown	NONE
HAH Comoros	FMCH
HAJ Germany	EDDV
HAK People's Repub	ZJHK
HAM Germany	EDDH
HAN Vietnam	VVNB
HAS Saudi Arabia	OEHL
HAU Norway	ENHD
HAV Cuba	MUHA
HBA Australia	YMHB
HBE Egypt	HEBA
HBT Saudi Arabia	OEKK
HDB Germany	EDIU
HDF Unknown	NONE
HDN Unknown	NONE
HDS Unknown	NONE
HDY Thailand	VTSS
HEA Afghanistan	OAHR
HEH Myanmar (Burma	VYHH
HEL Finland	EFHK
HER Greece	LGIR
HET People's Repub	ZBHH
HFA Israel	LLHA
HFE People's Repub	ZSOF
HFT Norway	ENHF
HGA Somalia	HCMH
HGH People's Repub	ZSHC
HGN Thailand	VTCH
HGR Unknown	NONE
HGU Papua New Guin	AYMH
HHH Unknown	NONE
HHN Germany	EDFH
HIB Unknown	NONE
HID Australia	YHID
HII Unknown	NONE
HIJ Japan	RJOA
HIL Philippines	RPVH
HIN South Korea	RKPS
HIR Solomon Island	AGGH
HIS Unknown	NONE
HJR India	VIKJ
HJT Mongolia	ZMHU
HKD Japan	RJCH
HKG Hong Kong, Chi	VHHX
HKK New Zealand	NZHK
HKN Papua New Guin	AYHK
HKT Thailand	VTSP
HKY Unknown	NONE
HLA South Africa	FALA
HLD People's Repub	ZBLA
HLN Unknown	NONE
HLP Indonesia	WIHH
HLZ New Zealand	NZHN
HMA Russian Federa	USHH
HMO Mexico	MMHO
HNA Japan	RJSI
HNH Alaska	PAOH
HNL Hawaii	PHNL
HNM Hawaii	PHHN
HNS Alaska	PAHN
HOB Unknown	NONE
HOE Laos	VLHS
HOF Saudi Arabia	OEAH
HOM Alaska	PAHO
HON Unknown	NONE
HOQ Germany	EDQM
HOR Portugal	LPHR
HOT Unknown	NONE
HOU Unknown	NONE
HPA Tonga	NFTL
HPB Alaska	PAHP
HPH Vietnam	VVCI
HPN Unknown	NONE
HPV Unknown	NONE
HRB People's Repub	ZYHB
HRE Zimbabwe	FVHA
HRG Egypt	HEGN
HRK Ukraine	UKHH
HRL Unknown	NONE
HRO Unknown	NONE
HSG Japan	RJFS
HSI Unknown	NONE
HSM Australia	YHSM
HSN People's Repub	ZSZS
HSV Unknown	NONE
HTI Australia	YBHM
HTN People's Repub	ZWTN
HTS Unknown	NONE
HUF Unknown	NONE
HUH French Polynes	NTTH
HUI Vietnam	VVPB
HUM Unknown	NONE
HUN Taiwan	RCYU
HUQ Unknown	NONE
HUX Mexico	MMBT
HUY United Kingdom	EGNJ
HVB Australia	YHBA
HVD Mongolia	ZMKD
HVG Norway	ENHV
HVN Unknown	NONE
HVR Unknown	NONE
HWN Zimbabwe	FVWN
HYA Unknown	NONE
HYD India	VOHS
HYG Alaska	PAHY
HYN People's Repub	ZSLQ
HYS Unknown	NONE
IAD Unknown	NONE
IAH Unknown	NONE
IAS Romania	LRIA
IBZ Spain	LEIB
ICN South Korea	RKSI
ICT Unknown	NONE
IDA Unknown	NONE
IDR India	VAID
IEG Poland	EPZG
IEV Ukraine	UKKK
IFN Iran	OIFM
IFO Ukraine	UKLI
IFP Unknown	NONE
IGA Bahamas	MYIG
IGG Alaska	PAIG
IGM Unknown	NONE
IGR Argentina	SARI
IGU Brazil	SBFI
IJK Russian Federa	USPI
IKO Alaska	PAKO
IKT Russian Federa	UIII
ILE Unknown	NONE
ILF Canada	CZBD
ILG Unknown	NONE
ILI Alaska	PAIL
ILM Unknown	NONE
ILO Philippines	RPVI
ILQ Unknown	NONE
ILY United Kingdom	EGPI
IMF India	VEIM
IMP Brazil	SBIZ
IMT Unknown	NONE
INC People's Repub	ZLIC
IND Unknown	NONE
INL Unknown	NONE
INN Austria	LOWI
INT Unknown	NONE
INU Nauru	ANYN
INV United Kingdom	EGPE
IOA Greece	LGIO
IOM United Kingdom	EGNS
IOS Brazil	SBIL
IPC Chile	SCIP
IPH Malaysia	WMKI
IPI Colombia	SKIP
IPT Unknown	NONE
IQM Unknown	NONE
IQQ Chile	SCDA
IQT Peru	SPQT
IRJ Argentina	SANL
IRK Unknown	NONE
ISA Australia	YBMA
ISB Pakistan	OPRN
ISC United Kingdom	EGHE
ISG Japan	ROIG
ISH Unknown	NONE
ISN Unknown	NONE
ISO Unknown	NONE
ISP Unknown	NONE
IST Turkey	LTBA
ITB Brazil	SBIH
ITH Unknown	NONE
ITM Japan	RJOO
ITO Hawaii	PHTO
IUE Niue	NIUE
IVC New Zealand	NZNV
IVL Finland	EFIV
IWD Unknown	NONE
IWJ Japan	RJOW
IXA India	VEAT
IXB India	VEBD
IXC India	VICG
IXD India	VIAL
IXE India	VOML
IXG India	VABM
IXH India	VEKR
IXI India	VELR
IXJ India	VIJU
IXK India	VAKS
IXL India	VILH
IXM India	VOMD
IXN India	VEKW
IXP India	VIPK
IXQ India	VEKM
IXR India	VERC
IXS India	VEKU
IXT India	VEPG
IXU India	VAAU
IXV India	VEAN
IXW India	VEJS
IXY India	VAKE
IXZ India	VOPB
IYK Unknown	NONE
IZO Japan	RJOC
JAC Unknown	NONE
JAG Pakistan	OPJA
JAI India	VIJP
JAL Mexico	MMJA
JAN Unknown	NONE
JAT Unknown	NONE
JAV Greenland	BGJN
JAX Unknown	NONE
JBR Unknown	NONE
JCA Unknown	NONE
JDH India	VIJO
JDO Unknown	NONE
JDP Unknown	NONE
JED Saudi Arabia	OEJN
JER United Kingdom	EGJJ
JFK Unknown	NONE
JGA India	VAJM
JHB Malaysia	WMKJ
JHE Unknown	NONE
JHG People's Repub	ZPJH
JHM Hawaii	PHJH
JHW Unknown	NONE
JIB Djibouti	HDAM
JIJ Unknown	NONE
JIK Greece	LGIK
JIL People's Repub	ZYJL
JIM Ethiopia	HAJM
JJN People's Repub	ZSQZ
JKG Sweden	ESGJ
JKH Greece	LGHI
JLN Unknown	NONE
JMC Unknown	NONE
JMK Greece	LGMK
JMM Unknown	NONE
JMO Unknown	NONE
JMS Unknown	NONE
JNB South Africa	FAJS
JNS Greenland	BGNS
JNU Alaska	PAJN
JNX Greece	LGNX
JOE Finland	EFJO
JOG Indonesia	WIIJ
JOI Brazil	SBJV
JON Johnston Atoll	PJON
JOS Nigeria	DNJO
JPA Brazil	SBJP
JRA Unknown	NONE
JRH India	VEJT
JRO Tanzania	HTKJ
JSH Greece	LGST
JSI Greece	LGSK
JST Unknown	NONE
JSY Greece	LGSO
JTR Greece	LGSR
JTY Greece	LGPL
JUJ Argentina	SASJ
JUL Peru	SPJL
JYV Finland	EFJY
JZH People's Repub	ZUJZ
KAB Zimbabwe	FVKB
KAE Alaska	PAFE
KAG South Korea	RKNN
KAJ Finland	EFKI
KAL Alaska	PAKV
KAN Nigeria	DNKN
KAO Finland	EFKS
KAT New Zealand	NZKT
KBL Afghanistan	OAKB
KBP Ukraine	UKBB
KBR Malaysia	WMKC
KBV Thailand	VTSG
KCA People's Repub	ZWKC
KCG Unknown	NONE
KCH Malaysia	WBGG
KCL Unknown	NONE
KCQ Alaska	PAJC
KCZ Japan	RJOK
KDH Afghanistan	OAKN
KDU Pakistan	OPSD
KEF Unknown	NONE
KEH Unknown	NONE
KEJ Russian Federa	UNEE
KEL Germany	EDHK
KEM Finland	EFKE
KEP Nepal	VNNG
KER Iran	OIKK
KGC Australia	YKSC
KGD Belarus	UMKK
KGI Australia	YPKG
KGK Alaska	PAJZ
KGL Rwanda	HRYR
